HTTPS SUBDOMAINS REACHABILITY

Subomain                         Is reachable                     Status
                          
mycom.cz                         True                             200                              
podpora.mycom.cz                 True                             200                              
autodiscover.mycom.cz            True                             200                              
test.mycom.cz                    False                            500                              
ftp.mycom.cz                     False                            500                              
reaqta.mycom.cz                  False                            500                              
forticems.mycom.cz               True                             200                              
dev.mycom.cz                     False                            500                              
support.mycom.cz                 True                             200                              
www.mycom.cz                     True                             200                              
seminar.mycom.cz                 False                            500                              
